#;Indikator_BHS;Indicator_Eng;Focus_Group;Concept;F;M;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
191;Roditelji u Mostaru ne sprječavaju svoju djecu da se bave zanimanjima, kao što su vodoinstalater ili keramičar.;Parents in Mostar do not prevent their children from pursuing occupations, such as plumbing or ceramics.;women;life together;3;;1;4;15.4;15.6;;15;4;Livelihoods;15;6;Parenting;Culture & Society;Culture & Society;3;1;0.772321429;1.958490566;0;0.392290249;0.682926829;0.682926829
192;Kad stranci dođu u Mostaru, ne kažu da je Mostar prljav.;When foreigners come to Mostar, they don't say that Mostar is dirty.;women;life together;1;1;2;4;20.9;18;;20;9;Tourism;18;0;Environment;Economic Activity & Livelihoods;Rights & Dignity;0;1;0.772321429;0.652830189;0.910526316;0.784580499;0.894736842;0.529411765
217;Većina ljudi koji žive u Zaliku međusobno se poznaju;Most people who live in Zalik know each other.;youth;life together;1;1;1;3;6;;;6;0;Social Relations;0;0;0;Culture & Society;0;0;1;0.579241071;0.652830189;0.910526316;0.392290249;0.497975709;0
218;Ljudi poznaju ljude iz druge strane grada.;People know people from the other side of the city.;youth;life together;;;3;3;6;1.3;;6;0;Social Relations;1;3;Social;Culture & Society;Culture & Society;0;3;0.579241071;0;0;1.176870748;0.497975709;0.423076923
219;Postoje organizovana veća druženja u Zaliku, a ne samo pri otvaranju pasarele prije 4 godine;There are organized larger gatherings in Zalik, not just at the opening of the Pasarela (footbridge in Zalik) four years ago.;youth;life together;3;;;3;11.2;9.1;;11;2;Social;9;10;City politics;Culture & Society;Rights & Dignity;3;3;0.579241071;1.958490566;0;0;0.456;0.459183673
220;Ljudi ne upozoravaju osobe iz drugih mjesta da je Mostar podijeljen.;People don't warn people from other places that Mostar is divided.;youth;life together;1;;2;3;6.1;1.3;;6;10;Us V Them;1;3;Social;Culture & Society;Culture & Society;1;1;0.579241071;0.652830189;0;0.784580499;0.497975709;0.423076923
221;Djeca se druže uživo, a ne samo virtuelno.;Children hang out in person, not just virtutally.;men;life together;2;;1;3;6.5;11;;6;5;Technology;11;0;Socializing;Culture & Society;Culture & Society;2;1;0.579241071;1.305660377;0;0.392290249;0.497975709;0.456
222;Roditelji znaju koje sadržaje gledaju njihova djeca dok borave na internetu.;Parents know what content their children watch while online.;men;life together;2;1;;3;15.6;6.5;;15;6;Parenting;6;5;Technology;Culture & Society;Culture & Society;1;1;0.579241071;1.305660377;0.910526316;0;0.512195122;0.497975709
223;Ljudi koji žive u Gornjem Zaliku čiste svoje naselje.;People who live in Gornji Zalik (Upper Zalik) clean their neighborhood.;men;life together;2;1;;3;18.3;3.9;;18;3;Environmental Restoration;3;9;Public Ownership;Rights & Dignity;Culture & Society;1;1;0.579241071;1.305660377;0.910526316;0;0.397058824;0.358490566
224;Žena koja radi u bolnici na Bijelom Brijegu slavi i Božić i Bajram sa svojim kolegama.;A woman who works at University Clinical Hospital of Mostar in Bijeli Brijeg celebrates both Christmas and Eid with her coworkers.;women;life together;2;;1;3;20.1;14.2;;20;10;Inclusivity;14;2;Interfaith relations;Economic Activity & Livelihoods;Culture & Society;2;1;0.579241071;1.305660377;0;0.392290249;0.671052632;1
225;Čekaonica u ambulanti u Zaliku nije premala, pa se može ostvariti distanca među pacijentima.;The waiting room at the clinic in Zalik isn't too small, so distance can be created between patients.;women;life together;1;2;;3;10.8;;;10;8;Medical;0;0;0;Rights & Dignity;0;-1;1;0.579241071;0.652830189;1.821052632;0;0.426035503;0
226;Čovjek iz Zalika se liječi na Bijelom brijegu.;A man who lives in Zalik gets treated at the University Clinical Hospital of Mostar in Bijeli Brijeg.;men;life together;;;3;3;10.8;1;;10;8;Medical;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;0;3;0.579241071;0;0;1.176870748;0.426035503;0.423076923
227;Ljudi ne glasaju za „svoje“ kanditate, samo da ne bi „drugi“ dobili glasove.;"People don't vote for their ""own"" candidates just so that the ""other ones"" don't get more votes.";men;life together;2;1;;3;9.3;1;;9;3;Political functionality;1;0;Integration and Acceptance;Rights & Dignity;Culture & Society;1;1;0.579241071;1.305660377;0.910526316;0;0.459183673;0.423076923
228;Ljudi u Zaliku udijele novac ukoliko vide prosjake na ulici.;People in Zalik give money if they see beggars on the street.;women;life together;;;3;3;6;;;6;0;Social Relations;0;0;0;Culture & Society;0;0;3;0.579241071;0;0;1.176870748;0.497975709;0
229;Ljudi u Mostaru su zaposleni, tako da imaju manje vremena za razmišljanje o pravljenjima navijačkih nereda.;People in Mostar are employed, so they have less time to think about creating football fan riots.;women;life together;;;3;3;4.1;20.2;;4;10;Sport & Hooliganism;20;2;Hiring & Employment;Rights & Dignity;Economic Activity & Livelihoods;0;3;0.579241071;0;0;1.176870748;0.473684211;0.671052632
230;Ljudi mogu planirati odmor, jer znaju da će imati osigurane plate.;People can plan a vacation because they know they will have secured salaries.;women;life together;;;3;3;11.3;20.8;;11;3;Leisure;20;8;Livelihoods;Culture & Society;Economic Activity & Livelihoods;0;3;0.579241071;0;0;1.176870748;0.456;0.671052632
231;Nezaposleni ljudi u Mostaru ne misle “bolje džaba ležati, nego džaba raditi.”;"Unemployed people in Mostar don't think : ""It's better to lie around for free, rather than work for nothing.""";women;life together;2;;1;3;10.9;20.8;;10;9;Unemployment;20;8;Livelihoods;Rights & Dignity;Economic Activity & Livelihoods;2;1;0.579241071;1.305660377;0;0.392290249;0.426035503;0.671052632
232;Kada lijepa radnica želi da se prebaci iz butika u pekaru, ne kažu svi, “Moja Vinka, gdje češ ti tako lijepa raditi u pekari?”;"When a beautiful worker wants to transfer from a boutique to a bakery, not everyone says : ""My Vinka, why would a beautiful girl like you work in a bakery?""";women;life together;;;3;3;20.2;22.1;;20;2;Hiring & Employment;22;10;Gender norms;Economic Activity & Livelihoods;Culture & Society;0;3;0.579241071;0;0;1.176870748;0.671052632;0.5
233;Roditelji ne očekuju da samo škola odgaja djecu.;Parents don't expect that only school raises their children.;youth;life together;;;3;3;15.6;19;;15;6;Parenting;19;0;Education;Culture & Society;Rights & Dignity;0;3;0.579241071;0;0;1.176870748;0.512195122;0.648648649
234;Mladi se ne udaljuju jedni od drugih zbog društvenih mreža.;Young people don't distance themselves from each other because of social media.;men;life together;1;2;;3;6.5;15;;6;5;Technology;15;0;Youth;Culture & Society;Culture & Society;-1;1;0.579241071;0.652830189;1.821052632;0;0.497975709;0.512195122
235;Dešavanja kao Advent traju cijelu godinu, a ne samo 10-15 dana;"Happenings like the winter market ""Advent"" last for the whole year and not just 10-15 days.";youth;life together;;;3;3;3.7;9.1;;3;7;Activities;9;10;City politics;Culture & Society;Rights & Dignity;0;3;0.579241071;0;0;1.176870748;0.358490566;0.459183673
236;Ako se smeće u Gornjm Zaliku kupi u 7 ujutro, ljudi ne iznose svoje smeće noć prije.;If the garbage in Gornji Zalik (Upper Zalik) is picked up at 7 AM, people don't take out their trash the night before.;women;life together;1;2;;3;18.1;3.9;;18;10;Waste management services;3;9;Public Ownership;Rights & Dignity;Culture & Society;-1;1;0.579241071;0.652830189;1.821052632;0;0.397058824;0.358490566
237;Kad stranci dođu u Mostar, ne kažu da je pun smeća.;When foreigners come to Mostar, they don't say it is full of trash.;women;life together;;1;2;3;20.9;18;;20;9;Tourism;18;0;Environment;Economic Activity & Livelihoods;Rights & Dignity;-1;1;0.579241071;0;0.910526316;0.784580499;0.671052632;0.397058824
238;Ljude sa zapadne strane nije strah da pređu na istočnu.;People from the west side aren't afraid to cross to the east side.;women;life together;;;3;3;2;6.1;;2;0;Tranquility/Security;6;10;Us V Them;Security;Culture & Society;0;3;0.579241071;0;0;1.176870748;0.559322034;0.497975709
274;Komšije ponude pomoć (korištenje kupatila) dok se renovira kupatilo u nečijem stanu;Neighbors offer help (using of the bathroom) during the renovation of a bathroom in someone's apartment.;women;life together;2;;;2;6.12;;;6;12;Neighbor Relations;0;0;0;Culture & Society;0;2;2;0.386160714;1.305660377;0;0;0.331983806;0
275;U Zaliku ljudi prihvataju jedni druge;People in Zalik accept each other.;youth;life together;1;;1;2;6.3;;;6;3;Social Trust;0;0;0;Culture & Society;0;1;1;0.386160714;0.652830189;0;0.392290249;0.331983806;0
276;Komšija pomaže komšiji u bašti;The neighbor helps their neighbor in the garden.;youth;life together;;2;;2;6.12;;;6;12;Neighbor Relations;0;0;0;Culture & Society;0;-2;2;0.386160714;0;1.821052632;0;0.331983806;0
277;Djeca se ne počinju poistovjećivati s ekstremnim likovima.;Children are not beginning to identify themselves with extremist characters.;men;life together;;;2;2;8;15;;8;0;Nationalism;15;0;Youth;Culture & Society;Culture & Society;0;2;0.386160714;0;0;0.784580499;0.230769231;0.341463415
278;Novi stanari u Zaliku se prilagođavaju starim komšijama.;New tenants in Zalik adjust to the older residents.;men;life together;;1;1;2;3.9;6;;3;9;Public Ownership;6;0;Social Relations;Culture & Society;Culture & Society;-1;1;0.386160714;0;0.910526316;0.392290249;0.238993711;0.331983806
279;Svako ima svoje društvo, s kojima idu na kafu.;Everyone has their group of friends with whom they go for coffee.;women;life together;;;2;2;11.1;6.2;;11;10;Cafes and Space;6;2;Personal Relationships;Culture & Society;Culture & Society;0;2;0.386160714;0;0;0.784580499;0.304;0.331983806
280;Mame u Zaliku pozivaju jedna drugu kod sebe, kako bi im se djeca igrala.;Moms in Zalik call each other to come to their place so their kids can play.;women;life together;;;2;2;15.6;11.3;;15;6;Parenting;11;3;Leisure;Culture & Society;Culture & Society;0;2;0.386160714;0;0;0.784580499;0.341463415;0.304
281;Kolegica druge vjere čestita nam Bajram, mi njoj Božić.;A coworker of a different religion congratulates us at Eid, and we her for Christmas.;women;life together;;;2;2;6.2;14.2;;6;2;Personal Relationships;14;2;Interfaith relations;Culture & Society;Culture & Society;0;2;0.386160714;0;0;0.784580499;0.331983806;0.666666667
282;Medicinari koji rade na odjelu anestezije na Bijelom Brijegu slave sve praznike zajedno.;The medical staff who work at the anesthesia department at the University Clinical Hospital of Mostar in Bijeli Brijeg celebrate all holidays together.;women;life together;;;2;2;20.1;6.9;;20;10;Inclusivity;6;9;Ethno-religious identity;Economic Activity & Livelihoods;Culture & Society;0;2;0.386160714;0;0;0.784580499;0.447368421;0.331983806
283;Šef dopušta mladiću koji radi u bolnici na Bijelom brijegu da petkom bude slobodan, kako bi išao na džumu.;The boss allows his employee who works at the University Clinical Hospital of Mostar in Bijeli Brijeg to be free on Fridays so that he can go to Friday prayer.;youth;life together;;;2;2;14.3;20.3;;14;3;Religious beliefs and practices;20;3;Workers protection and rights;Culture & Society;Economic Activity & Livelihoods;0;2;0.386160714;0;0;0.784580499;0.666666667;0.447368421
284;Žena koja radi u bolnici, nikad nije osjetila da se neki pacijent boji, jer se zove Ante, Jovan ili Alija.;A woman who works at the hospital in Bijeli Brijeg never felt that some patient is afraid because they are called Ante, Jovan, or Alija.;women;life together;;;2;2;10.8;6.9;;10;8;Medical;6;9;Ethno-religious identity;Rights & Dignity;Culture & Society;0;2;0.386160714;0;0;0.784580499;0.284023669;0.331983806
285;Čovjek iz Zalika je nazvao selam hodži kad su se sreli na odjelu onkologije na Bijelom brijegu.;A man from Zalik greeted salam to an imam when they ran into each other at the oncology department in (the hospital in) Bijeli Brijeg.;women;life together;;;2;2;14;10.8;;14;0;Religion;10;8;Medical;Culture & Society;Rights & Dignity;0;2;0.386160714;0;0;0.784580499;0.666666667;0.284023669
286;U Gornjem Zaliku ima rasvjeta do Strelišta.;In Gornju Zalik, there are street lights all the way until Strelište. ;youth;life together;;;2;2;10.6;17.3;;10;6;Public utilities;17;3;Public Lighting;Rights & Dignity;Economic Activity & Livelihoods;0;2;0.386160714;0;0;0.784580499;0.284023669;0.217821782
287;Bivši borci, koji žive na Strelištu, imaju vodu.;Former military fighters, who live at Strelište, have water.;youth;life together;1;1;;2;10.6;17;;10;6;Public utilities;17;0;Infrastructure;Rights & Dignity;Economic Activity & Livelihoods;0;1;0.386160714;0.652830189;0.910526316;0;0.284023669;0.217821782
288;Put do Strelišta nije loš.;The road to Strelište (Shooting range) isn't bad.;youth;life together;2;;;2;17.1;;;17;10;Roads;0;0;0;Economic Activity & Livelihoods;0;2;2;0.386160714;1.305660377;0;0;0.217821782;0
289;U bolnici Južni logor ima dermatolog.;"A the Cantonal Hospital ""Dr. Safet Mujić"" there is a dermatologist.";women;life together;1;1;;2;10.8;;;10;8;Medical;0;0;0;Rights & Dignity;0;0;1;0.386160714;0.652830189;0.910526316;0;0.284023669;0
290;Političke stranke ne zavađaju ljude.;Political parties don't make people start arguments.;men;life together;;;2;2;9.9;4;;9;9;Political parties;4;0;Criminality and Legal Enforcement;Rights & Dignity;Rights & Dignity;0;2;0.386160714;0;0;0.784580499;0.306122449;0.315789474
291;Ljudi ne biraju na izborima stranke koje potiču ljude da prave nerede u gradu.;People do not vote during elections for parties that encourage people to make riots in the city.;men;life together;;;2;2;9.3;4.4;;9;3;Political functionality;4;4;Violent Crime;Rights & Dignity;Rights & Dignity;0;2;0.386160714;0;0;0.784580499;0.306122449;0.315789474
292;Djevojka, koja dolazi iz porodice pune para, ne ide na fakultet na silu, jer njena porodica to želi.;A girl, who comes from a rich family, isn't forced to go to university just because her family wants that.;women;life together;;;2;2;15.6;19;;15;6;Parenting;19;0;Education;Culture & Society;Rights & Dignity;0;2;0.386160714;0;0;0.784580499;0.341463415;0.432432432
293;U Zalik doseljavaju porodice iz čitave BiH.;Families from the whole Bosnia and Herzegovina come to live in Zalik;women;life together;;2;;2;1;;;1;0;Integration and Acceptance;0;0;0;Culture & Society;0;-2;2;0.386160714;0;1.821052632;0;0.282051282;0
294;Advent s bogatim sadržajem okuplja ljude s obje strane grada;Winter market 'Advent' has a big variety of content which gathers people from both sides of the city.;youth;life together;;;2;2;3.7;6.9;;3;7;Activities;6;9;Ethno-religious identity;Culture & Society;Culture & Society;0;2;0.386160714;0;0;0.784580499;0.238993711;0.331983806
295; Na Španskom trgu se održavaju koncerti.;On Španski trg (Spanish square) many concerts are held.;women;life together;;;2;2;3.1;3.7;;3;10;Open spaces;3;7;Activities;Culture & Society;Culture & Society;0;2;0.386160714;0;0;0.784580499;0.238993711;0.238993711
296;Mladi sa istočne strane jedu kolače u Egoistu;Young people from the east side come to cafe Egoist to eat cake and sweets.;youth;life together;;;2;2;11.1;2.3;;11;10;Cafes and Space;2;3;Movement;Culture & Society;Security;0;2;0.386160714;0;0;0.784580499;0.304;0.372881356
297;Kulturni centar Kralj Fahd ima kurseve koji su besplatni.;The cultural Center Kralj Fahd (King Fahd) has free classes.;youth;life together;;;2;2;19.2;;;19;2;Non school based education;0;0;0;Rights & Dignity;0;0;2;0.386160714;0;0;0.784580499;0.432432432;0
298;Ljudi u Zaliku ne bacaju šut od renoviranje tamo gdje se parkiraju auta.;People in Zalik don't throw garbage left from renovating where they park their cars.;youth;life together;2;;;2;18.2;21.1;;18;2;Waste prevention;21;10;Parking;Rights & Dignity;Culture & Society;2;2;0.386160714;1.305660377;0;0;0.264705882;0.296296296
299;Žena koja radi u Starom gradu ne dolazi kući sa jaknom punom papirića, jer u Starom gradu postoji dovoljno kanti.;A woman who works in the Old Town doesn't come home with her pockets filled with papers, as there are enough trash cans in the Old Town.;women;life together;;;2;2;18.1;10.6;;18;10;Waste management services;10;6;Public utilities;Rights & Dignity;Rights & Dignity;0;2;0.386160714;0;0;0.784580499;0.264705882;0.284023669
348;Ne postoji strah od određenih tema, kao npr. ratne teme.;There is no fear of certain topics like war, for example.;women;life together;;;1;1;7;1.3;;7;0;Legacies of War;1;3;Social;Dealing with the Past;Culture & Society;0;1;0.193080357;0;0;0.392290249;0.2;0.141025641
349;U Zaliku su ljudi spremni da pomognu jedni drugima, npr. organizuju humanitarne akcije;In Zalik people are ready to help each other, for example, organizing humanitarian activities.;men;life together;;;1;1;6.1;3.9;;6;10;Us V Them;3;9;Public Ownership;Culture & Society;Culture & Society;0;1;0.193080357;0;0;0.392290249;0.165991903;0.119496855
350;Ljudi se ne povlače u sebe i svoja 4 zida (mediji).;People don't hide within themselves and their four walls (media);youth;life together;;;1;1;11.3;13;;11;3;Leisure;13;0;Media;Culture & Society;Culture & Society;;;0.193080357;0;0;0.392290249;0.152;0
351;Ljudi imaju doticaja sa ljudima sa druge strane grada;People are in contact with the people from the other side of town.;youth;life together;;;1;1;6.1;11;;6;10;Us V Them;11;0;Socializing;Culture & Society;Culture & Society;;;0.193080357;0;0;0.392290249;0.165991903;0.152
352;Djeca se ne počinju poistovjećivati s navijačkim likovima;Kids aren't beginning to identify themselves with football fan characters;men;life together;;;1;1;15;8.3;;15;0;Youth;8;3;Sport;Culture & Society;Culture & Society;;;0.193080357;0;0;0.392290249;0.170731707;0.115384615
353;Čovjek ne čeka po 3 godine da mu ostali stanari refundiraju troškove za uvođenje interfona.;A man doesn't wait for 3 years for the other tenants to reimburse the cost of intercom installation.;men;life together;;;1;1;6.12;;;6;12;Neighbor Relations;0;0;0;Culture & Society;0;;;0.193080357;0;0;0.392290249;0.165991903;0
354;Stanari su o svom trošku platili farbanje fasade.;The tenants paid for the painting of the facade with their own money.;men;life together;;1;;1;6.12;;;6;12;Neighbor Relations;0;0;0;Culture & Society;0;;;0.193080357;0;0.910526316;0;0.165991903;0
355;Otpad iz mesnice Voloder se ne baca u kontejner.;Waste from the  butcher's shop Voloder isn't thrown into a trash can.;men;life together;;1;;1;18.3;20.6;;18;3;Environmental Restoration;20;6;Small businesses;Rights & Dignity;Economic Activity & Livelihoods;;;0.193080357;0;0.910526316;0;0.132352941;0.223684211
356;U Nsoftu radi omladina iz svih mogućih dijelova grada i oni odlično funkcionišu zajedno.;The youth from all parts of the city work at Nsoft and they work together very well.;women;life together;;;1;1;6.9;20.1;;6;9;Ethno-religious identity;20;10;Inclusivity;Culture & Society;Economic Activity & Livelihoods;;;0.193080357;0;0;0.392290249;0.165991903;0.223684211
357;Ljudi iz Zalika ne govore djevojci u oči da je divna, a iza njenih leđa svojoj djeci brane da se druže s njom.;People from Zalik don't tell a girl to her face that she is nice, but behind her back forbid their kids to hang out with her.;women;life together;;;1;1;1.1;22;;1;10;Personal value;22;0;Gender;Culture & Society;Culture & Society;;;0.193080357;0;0;0.392290249;0.141025641;0.166666667
358;U Sparku, radi pokrivena djevojka, koja sjedi pored djevojke koje se zove Marija.;At Spark, a girl wearing hijab sits next to a girl called Marija.;women;life together;;;1;1;6.9;20.1;;6;9;Ethno-religious identity;20;10;Inclusivity;Culture & Society;Economic Activity & Livelihoods;;;0.193080357;0;0;0.392290249;0.165991903;0.223684211
359;Istočna strana ima sve (npr. prodavnice i kafiće), kao i zapadna strana.;The east side has everything (for example, shops and cafes) that the west side has too.;women;life together;;;1;1;17;20;;17;0;Infrastructure;20;0;Business;Economic Activity & Livelihoods;Economic Activity & Livelihoods;;;0.193080357;0;0;0.392290249;0.108910891;0.223684211
360;Od Strelišta prema gore ima rasvjete.;From Strelište (Shooting range) upwards there are street lights.;youth;life together;;;1;1;10.6;17.3;;10;6;Public utilities;17;3;Public Lighting;Rights & Dignity;Economic Activity & Livelihoods;;;0.193080357;0;0;0.392290249;0.142011834;0.108910891
361;Rješenja za parking u Mostaru nisu izdata samo na hrvatskom jeziku, tako da ih ljudi iz Bosne razumiju,;Parking rules in Mostar were not only issued in Croatian, so that people from Bosnia can understand them,;men;life together;;;1;1;6.8;9.1;;6;8;Language;9;10;City politics;Culture & Society;Rights & Dignity;;;0.193080357;0;0;0.392290249;0.165991903;0.153061224
362;Postoji centar za mlade u Mostaru, gdje oni mogu razvijati svoje vještine.;There is a youth center in Mostar, where the young people can develop their skills.;men;life together;;;1;1;19.2;15.1;;19;2;Non school based education;15;10;Engagement;Rights & Dignity;Culture & Society;;;0.193080357;0;0;0.392290249;0.216216216;0.170731707
363;U Starom gradu pored Šemovca kante nisu prepune smeća.;In the Old Town, next to Šemovac, the trash cans aren't overflowing.;women;life together;;;1;1;18.1;3.8;;18;10;Waste management services;3;8;Historic cultural monuments;Rights & Dignity;Culture & Society;;;0.193080357;0;0;0.392290249;0.132352941;0.119496855
364;U Zaliku ima trotoar pa mame s kolicima mogu sigurno da se kreću.;In Zalik there are sidewalks, so that mothers with baby carriages can walk safely.;women;life together;;;1;1;17.1;21.3;;17;10;Roads;21;3;Pedestrian Saftey;Economic Activity & Livelihoods;Culture & Society;;;0.193080357;0;0;0.392290249;0.108910891;0.148148148
365;Žena hodže iz Zalika se liječi na Bijelom brijegu.;A hodja's wife from Zalik gets treated at the University Clinical Hospital of Mostar;men;life together;;;1;1;10.8;6.9;;10;8;Medical;6;9;Ethno-religious identity;Rights & Dignity;Culture & Society;;;0.193080357;0;0;0.392290249;0.142011834;0.165991903
366;Žene, koje rade u Starom gradu, ne moraju doći ranije na posao tako da bi očistile smeće s kaldrme.;Women who work in the Old town don't have to come early to work to clean the trash from the cobblestones (in front of the shops). ;men;life together;;;1;1;18.1;3.8;;18;10;Waste management services;3;8;Historic cultural monuments;Rights & Dignity;Culture & Society;;;0.193080357;0;0;0.392290249;0.132352941;0.119496855
367;Dijete koje nema babu na položaju može dobiti posao kad stekne diplomu.;A kid who doesn't have a father with connections can get a job after receiving a diploma.;women;life together;;;1;1;4.2;20.2;;4;2;Corruption;20;2;Hiring & Employment;Rights & Dignity;Economic Activity & Livelihoods;;;0.193080357;0;0;0.392290249;0.157894737;0.223684211
368;Dobar keramičar radi i u Srbina, i u Hrvata i u Bošnjaka.;A good tile installer works for a Serb, Croat and Bosniak.;women;life together;;;1;1;20.1;6.9;;20;10;Inclusivity;6;9;Ethno-religious identity;Economic Activity & Livelihoods;Culture & Society;;;0.193080357;0;0;0.392290249;0.223684211;0.165991903
369;Mladi ne studiraju zanimanja za koja nema zaposlenja u Mostaru.;Young people don't get degrees in professions in which there are no available working spaces.;women;life together;;;1;1;19;20.5;;19;0;Education;20;5;Youth employment;Rights & Dignity;Economic Activity & Livelihoods;;;0.193080357;0;0;0.392290249;0.216216216;0.223684211
370;Lokalni momci rade posao za dnevnicu od 40 KM, jer ih nije stid da li će ih neko vidjeti.;Local men work jobs for a daily wage of 40KM because they aren't ashamed someone will see them doing that job.;youth;life together;;;1;1;20.8;22.1;;20;8;Livelihoods;22;10;Gender norms;Economic Activity & Livelihoods;Culture & Society;;;0.193080357;0;0;0.392290249;0.223684211;0.166666667
371;Hrvat koji je dobio posao grafičkog dizajnera, se zahvalio uposlenicima KC Kralj Fahd s ogromnom platom kolača.;A Croat who got a job as a graphic designer thanked the employees of the Cultural Center Kralj Fahd (King Fahd) with a big platter of cakes.;women;life together;1;;;1;20.8;1.1;;20;8;Livelihoods;1;10;Personal value;Economic Activity & Livelihoods;Culture & Society;;;0.193080357;0.652830189;0;0;0.223684211;0.141025641
372;Prošle godine u novembru, maskirani hrvatski dječaci nisu napali bošnjačke dječake koji su učestvovali u turniru.;Last November, masked Croatian boys didn't attack Bosniak boys who were participating in the tournament.;youth;life together;;;1;1;4.1;12.3;;4;10;Sport & Hooliganism;12;3;Activities;Rights & Dignity;Culture & Society;;;0.193080357;0;0;0.392290249;0.157894737;0.1
373;Kolegice s fakulteta na zapadnoj strani, nakon što nas upoznaju, prelaze s nama na istočnu stranu;Students from the university on the west side, after meeting us, cross with us to the east side.;youth;life together;1;;;1;2.3;15.5;;2;3;Movement;15;5;Inclusion;Security;Culture & Society;;;0.193080357;0.652830189;0;0;0.186440678;0.170731707
374;Roditelju utiču da djeca što više vremena provode vani.;Parents try to influence their kids to spend their time outside as much as possible.;youth;life together;1;;;1;15.6;15.3;;15;6;Parenting;15;3;Health;Culture & Society;Culture & Society;;;0.193080357;0.652830189;0;0;0.170731707;0.170731707
375;Roditelji ne dovode djecu u školu sa zakašnjenjem.;Parents don't bring their children late to school.;women;life together;1;;;1;15.6;19;;15;6;Parenting;19;0;Education;Culture & Society;Rights & Dignity;;;0.193080357;0.652830189;0;0;0.170731707;0.216216216
376;Kada ljudi izađu na kafu, ne budu svo vrijeme na mobitelima.;When people go to a cafe, they don't spend all of their time on their phones.;men;life together;;;1;1;11.1;6.5;;11;10;Cafes and Space;6;5;Technology;Culture & Society;Culture & Society;;;0.193080357;0;0;0.392290249;0.152;0.165991903
377;Ljudi redovno koriste pasarelu da pređu ulicu;People regularly use the Pasarela (footbridge in Zalik) to cross the road.;men;life together;;;1;1;17.1;21.3;;17;10;Roads;21;3;Pedestrian Saftey;Economic Activity & Livelihoods;Culture & Society;;;0.193080357;0;0;0.392290249;0.108910891;0.148148148
378;Kad god neko pita ženu iz Zalika “kakva je situacija u Mostaru?” ona odgovara “Nikad ljepša.”;"When someone asks a woman from Zalik: ""How's the situation in Mostar?"", she replies with: ""Never better.""";youth;life together;;;1;1;9;6.3;;9;0;Governance;6;3;Social Trust;Rights & Dignity;Culture & Society;;;0.193080357;0;0;0.392290249;0.153061224;0.165991903
379;Ljudi ne pitaju šta je interes žene koja pokušava okupiti ljude da čiste njihovu ulicu.;People don't ask a woman, who tries to gather people to clean their street, what she gains by doing that.;women;life together;;;1;1;6.4;18.3;;6;4;Activism;18;3;Environmental Restoration;Culture & Society;Rights & Dignity;;;0.193080357;0;0;0.392290249;0.165991903;0.132352941
380;Žena želi očistiti svoju ulicu, jer želi da joj tu bude lijepo.;A woman wants to clean her streets because she wants it to look nice.;women;life together;;;1;1;18.3;22;;18;3;Environmental Restoration;22;0;Gender;Rights & Dignity;Culture & Society;;;0.193080357;0;0;0.392290249;0.132352941;0.166666667
381;Žena nema psihičkih problema zbog egizistencijalne ugroženosti.;Women don't have mental issues because they don't feel like their lives are endangered.;women;life together;;;1;1;22.3;20.8;;22;3;Safety and comfort;20;8;Livelihoods;Culture & Society;Economic Activity & Livelihoods;;;0.193080357;0;0;0.392290249;0.166666667;0.223684211
382;Udruženje mladih iz Zalika pokreće akcije čišćenja.;The Youth Association of Zalik starts clean up events.;women;life together;;;1;1;18.3;9.7;;18;3;Environmental Restoration;9;7;Citizens' associations;Rights & Dignity;Rights & Dignity;;;0.193080357;0;0;0.392290249;0.132352941;0.153061224
